Date,Time,Plate_English,Plate_Arabic
2026-05-13,11:03:55,888 WYL,ل ن س ٨٨٨
2026-05-13,11:04:14,6483 RbU,ع ي ق ٦٤٨٣
2026-05-13,11:05:19,777 bb,ي ي ٧٧٧
2026-05-13,21:21:22,546 UEB,ق ج ب ٥٤٦
2026-05-13,21:21:28,31 ATn,ا ف م ٣١
2026-05-13,21:21:34,77 nNJ,م ص ر ٧٧
2026-05-13,21:21:39,7 LBR,س ب ع ٧
2026-05-13,21:21:45,4444 EYE,ج ن ج ٤٤٤٤
2026-05-13,21:21:49,4391 JZa,ر هـ و ٤٣٩١
2026-05-13,21:21:54,8194 LZA,س هـ ا ٨١٩٤
2026-05-13,21:22:02,7214 PJa,ط ر و ٧٢١٤
2026-05-13,21:23:26,4414 EZ,ج هـ ٤٤١٤
2026-05-13,21:23:32,46715 Ub,ق ي ٤٦٧١٥
2026-05-13,21:23:46,7333 BBB,ب ب ب ٧٣٣٣
2026-05-13,21:23:53,765 BaL,ب و س ٧٦٥
2026-05-13,21:23:58,4444 EJa,ج ر و ٤٤٤٤
2026-05-13,21:24:02,3945 PBE,ط ب ج ٣٩٤٥
2026-05-13,21:24:07,9528 ETN,ج ف ص ٩٥٢٨
2026-05-13,21:24:14,24425 VR,ك ع ٢٤٤٢٥
2026-05-13,21:24:23,46715 Ub,ق ي ٤٦٧١٥
2026-05-13,21:24:32,6843 UAb,ق ا ي ٦٨٤٣
2026-05-13,21:24:49,46715 Ub,ق ي ٤٦٧١٥
2026-05-13,21:25:00,1 AZn,ا هـ م ١
2026-05-13,21:25:05,31 ATn,ا ف م ٣١
2026-05-13,21:25:14,9528 ETN,ج ف ص ٩٥٢٨
2026-05-13,21:25:22,24 AB,ا ب ٢٤
2026-05-13,21:25:38,8 nNJ,م ص ر ٨
2026-05-13,21:25:46,4444 EYE,ج ن ج ٤٤٤٤
2026-05-13,21:25:51,27 , ٢٧
2026-05-13,21:26:03,765 BaL,ب و س ٧٦٥
2026-05-13,21:26:14,546 UEB,ق ج ب ٥٤٦
2026-05-13,21:26:23,7616 EJZ,ج ر هـ ٧٦١٦
2026-05-14,06:48:21,7214 PJa,ط ر و ٧٢١٤
2026-05-14,06:50:48,3945 PBE,ط ب ج ٣٩٤٥
2026-05-14,06:50:56,66 BPW,ب ط ل ٦٦
2026-05-14,06:51:01,31 ATn,ا ف م ٣١
2026-05-14,06:51:05,46715 Ub,ق ي ٤٦٧١٥
2026-05-14,06:51:14,7616 EJZ,ج ر ه ٧٦١٦
2026-05-14,06:51:20,6843 UAb,ق ا ي ٦٨٤٣
2026-05-14,06:51:27,8194 LZA,س ه ا ٨١٩٤
2026-05-14,06:51:39,4 , ٤
2026-05-14,06:52:27,88 , ٨٨
2026-05-14,06:52:55,8 BP,ب ط ٨
2026-05-14,06:53:30,44 bJ,ي ر ٤٤
2026-05-14,06:53:58,34 LRL,س ع س ٣٤
2026-05-14,06:54:11,71 RAY,ع ا ن ٧١
2026-05-14,06:54:30,394 LLL,س س س ٣٩٤
2026-05-14,06:55:38,7214 VJa,ك ر و ٧٢١٤
2026-05-14,06:55:43,1 AZn,ا ه م ١
2026-05-14,06:55:49,4391 JZa,ر ه و ٤٣٩١
2026-05-14,06:55:54,8194 LZA,س ه ا ٨١٩٤
2026-05-14,06:56:01,9528 ETN,ج ف ص ٩٥٢٨
2026-05-14,07:01:41,8 nNJ,م ص ر ٨
2026-05-14,07:01:42,988 APL,ا ط س ٩٨٨
2026-05-14,07:01:42,9 , ٩
2026-05-14,07:01:42, U,ق 
2026-05-14,07:03:07,8 nNJ,م ص ر ٨
2026-05-14,07:03:07,988 APL,ا ط س ٩٨٨
2026-05-14,07:03:08,9 , ٩
2026-05-14,07:03:28,8 nNJ,م ص ر ٨
2026-05-14,07:03:28,988 APL,ا ط س ٩٨٨
2026-05-14,07:03:42,24 AB,ا ب ٢٤
2026-05-14,07:03:42,5444 Z,ه ٥٤٤٤
2026-05-14,07:03:42,6 nA,م ا ٦
2026-05-14,07:04:54,377 RbP,ع ي ط ٣٧٧
2026-05-14,07:04:54,684 HNY,د ص ن ٦٨٤
